feature,importance_lgbm,importance_cb
Venue Name,3312,4.857092093193222
avg_price,13954,15.414405878717796
capacity,169,0.002649507294931512
day_of_week,1580,20.01124005360116
is_weekend,2439,1.4902461532449545
km_cluster_label,0,3.3475967470638106
lead_time,34521,40.06293774449227
search_hour_for,2263,14.81383182239197
